Application_ID,ApplicationName,ApplicationVersion,ApplicationUpdate
1,VVM,3.6.7_r1,No
2,VZM,5.5.20,Yes
3,VVM,3.8.25_r1,No
4,DefaultMessaging,1.2.1,No
5,VVM,2.0.489739,No
6,Dialer,1.2.1,No
7,DefaultMessaging,4.81.2,No
8,Gmail,5.4.97,Yes
9,XCAL,5.5.16,Yes
10,Dialer,4.56.2,No
11,AndFTP,4.2,Yes
12,PingTools,"3.12 Free",Yes
13,iPerf,2.06,Yes
14,Camera,7.30.569136,No
15,Facebook,9.22.569629,Yes
16,VVM,1.1.0,No
17,Call,1.0.0,No
18,VVM,3.0.1,No
19,Facebook,51.0.0.14.10,Yes
20,DefaultMessaging,5.5.30,No
21,DefaultMessaging,1.0.0,No
22,Facebook,41.0.0.25.131,Yes
28,VZM,5.6.6,Yes
29,ChromeBrowser,43.0.2357.93,Yes
30,ChromeBrowser,44.0.2403.133,Yes
31,Youtube,10.31.55,Yes
32,DefaultMessaging,4.4.4-3,No
33,Call,1.1.0,No
34,Call,1.0.1,No
35,DefaultMessaging,1.1.0,No
36,DefaultMessaging,1.0.1,No
37,Call,4.4.4-3,No
38,Call,4.40.25,No
39,VZM,5.5.30,Yes
40,VZM,5.5.13,Yes
41,VZM,5.6.7,Yes
42,Skype,6.7.0.460,Yes
43,Hangouts,5.0.104885319,Yes
44,Twitter,5.63.1,Yes
45,Gmail,5.5.101116392.release,Yes
46,YouTube,10.40.58,Yes
47,Call,4.50.84,No
49,ChromeBrowser,45.0.2454.84,Yes
50,VZM,5.5.33,Yes
51,DefaultMessaging,4.80.31,No
52,DefaultMessaging,4.4.17.1,No
53,Facebook,50.0.0.10.54,Yes
54,VVM,3.12.18.2,No
57,VVM,3.8.32,No
60,VVM,3.9.5,No
62,Twitter,5.81.0,Yes
63,Call,5.1.44,No
64,ChromeBrowser,39.0.2171.93,Yes
66,DefaultMessaging,5.1.44,No
67,VZM,5.6.8,Yes
68,ChromeBrowser,45.0.2454.94,Yes
69,DefaultMessaging,7.0.495858,No
71,Skype,6.6.0.333,Yes
72,Facebook,48.0.0.28.137,Yes
73,Gmail,5.7.105345578.release,Yes
74,Hangouts,5.0.104885319,Yes
75,Call,5.0.2-1,No
76,DefaultMessaging,29.0.D.0.22,No
77,IMDb,5.8.0.105800100,Yes
78,Call,4.40.25,No
79,Contacts,4.40.29,No
80,Audible,1.11.0,Yes
81,Contacts,5.0.1.0066065,No
82,VVM,3.11.16.2,No
83,Contacts,18.1.A.1.6,No
84,AmazonMP3,4.6.5,Yes
85,Calendar,20.0.D.3.9,No
86,Gallery,7.2.A.0.10,No
88,Call,4.60.71.16,No
89,DefaultMessaging,29.0.D.0.22,No
90,VZM,6.0.2,Yes
91,Hangouts,4.2.102354210,Yes
92,IMDb,5.7.0.105700100,Yes
93,Facebook,42.0.0.27.114,Yes
94,Gmail,5.7.104875269.release,Yes
95,Call,18.1.A.1.6,No
96,Call,4.4.4-4,No
97,DefaultMessaging,4.4.4-4,No
98,ChromeBrowser,46.0.2490.76,Yes
99,Gmail,"5.0.1 (1642443)",Yes
100,Hangouts,5.1.105976615,Yes
101,Twitter,5.82.0,Yes
102,Facebook,52.0.0.12.18,Yes
103,Skype,6.8.0.590,Yes
104,Gmail,5.7.105901136.release,Yes
105,DefaultMessaging,27.3.D.2.10,No
106,Call,4.4.4-1,No
107,Contacts,17.0.A.50,No
108,Contacts,5.1.1.0639280,No
109,Contacts,5.1.1.0827277,No
110,IMDb,6.0.2.106020300,Yes
111,Audible,2.0.0,Yes
112,VVM,3.9.6,No
113,DefaultMessaging,4.81.17,No
114,DefaultMessaging,v4.20.4,No
115,Contacts,5.1.1.1067523,No
116,Call,4.50.38.1,No
117,Call,5.1.1.1067523,No
118,Gmail,5.8.107203005.release,Yes
119,Skype,6.10.0.620,Yes
120,Twitter,5.85.0,Yes
121,YouTube,10.43.60,Yes
122,Facebook,54.0.0.23.62,Yes
123,Facebook,55.0.0.18.66,Yes
124,Call,4.40.29,No
125,Skype,6.11.0.518,Yes
127,Gallery,1.21.1510.231,No
128,Calendar,3.1.1.15102918,No
129,IMDb,6.0.4.106040400,Yes
130,Contacts,5.1.1.0703835,No
131,Hangouts,6.0.107278502,Yes
132,Gallery,2.0.7301138,No
133,Calendar,5.1.1-G360VVRU3BOK2,No
134,IMDb,6.0.5.106050100,Yes
135,Call,4.40.50,No
136,VZM,6.0.6,Yes
137,Call,5.0.1.4640090,No
138,Call,5.1.1.0703835,No
139,Call,5.1.1.0827277,No
140,Call,2.06,No
141,DefaultMessaging,29.0.D.1.7,No
142,Gallery,7.2.A.0.12,No
143,Calendar,20.0.B.1.23,No
144,VVM,3.11.17.7,No
145,Gallery,4.40.31,No
146,Calendar,4.40.21,No
147,Facebook,56.0.0.23.68,Yes
148,Skype,6.12.0.585,Yes
149,Call,1.0,No
150,Contacts,18.1.A.1.6,No
151,Call,4.60.71.30,No
152,Contacts,4.56.21,No
153,DefaultMessaging,4.81.21,No
154,Contacts,4.50.38.1,No
155,Twitter,5.86.0,Yes
156,VVM,3.12.18.4,No
157,VZM,6.0.8,Yes
158,ChromeBrowser,47.0.2526.76,Yes
159,Contacts,5.0.1.4640090,No
160,DefaultMessaging,2.06n,No
161,Twitter,5.87.0,Yes
162,Skype,6.14.0.665,Yes
163,Facebook,57.0.0.18.136,Yes
164,YouTube,10.47.54,Yes
165,YouTube,10.47.55,Yes
166,Hangouts,6.1.109448852,Yes
167,IMDb,6.0.6.106060100,Yes
168,VerizonCloud,15.4.23.1,No
169,VSP,4.0.0,Yes
170,Contacts,5.1.1.1175366,No
171,VZM,6.1.3,Yes
174,DefaultMessaging,2.0.52,No
175,ChromeBrowser,47.0.2526.83,Yes
176,Facebook,58.0.0.28.70,Yes
177,Twitter,5.89.0,Yes
178,Skype,6.15.0.1162,Yes
179,YouTube,10.49.59,Yes
180,Gmail,5.9.109452737.release,Yes
181,Call,5.1.1.1175366,No
182,Contacts,2.0.74,No
183,IMDb,6.0.7.106070100,Yes
184,Gallery,2.0.11051958,No
185,Calendar,2.1.5.15111619,No
186,VVM,3.12.19.11,No
187,Twitter,5.90.0,Yes
188,DefaultMessaging,4.85.15.2,No
189,Call,4.70.28.37,No
190,Contacts,4.70.19.1,No
191,VerizonCloud,15.4.23.2,No
192,Gallery,4.70.22,No
193,Calendar,4.70.9,No
194,Facebook,59.0.0.15.313,Yes
195,Twitter,5.91.0,Yes
196,DefaultMessaging,4.4.4-N915VVRE1AOC2,No
197,Call,4.4.4-N915VVRE1AOC2,No
198,Contacts,4.4.4-N915VVRE1AOC2,No
199,Twitter,"5.91.0 ",Yes
200,Facebook,60.0.0.16.76,Yes
201,Twitter,5.92.0,Yes
202,Skype,6.17.0.420,Yes
